,Player,Year,Club
0,Mohamed Lamine Bayo,2004-2017,Clermont Foot
1,Mohamed Lamine Bayo,2017-2022,Clermont Foot
2,Mohamed Lamine Bayo,2019-2020,USL Dunkerque
3,Mohamed Lamine Bayo,2022-,LOSC Lille
4,Mohamed Lamine Bayo,2021-,Guinée
5,Tom Saettel,2021-,France -17 ans
