,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Ismaël Gharbi,es ESP,MFFW,19-033,5,0,56,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,1,8,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches,5b3cfa12
Leandro Paredes,ar ARG,MF,28-318,3,0,52,0.6,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,1,6,0,0.00,1.73,1.73,0.00,1.73,0.00,0.72,0.72,0.00,0.72,Matches,dff153a4
Ilyes Housni,fr FRA,FW,17-364,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,910e3cad
Abdou Diallo,sn SEN,DF,27-009,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,fc62f087
Nehemiah Fernandez,fr FRA,DF,18-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,40604d0c
Arnaud Kalimuendo,fr FRA,FW,21-113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,bf4c41f9
Ayman Kari,fr FRA,MF,18-175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,0e8d7b6c
Hugo Lamy,fr FRA,DF,19-117,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,5f2851de
Alexandre Letellier,fr FRA,GK,32-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,96fcd380
Keylor Navas,cr CRC,GK,36-149,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ecada4fc
Serif Nhaga,pt POR,DF,17-254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,d99ed660
Sergio Rico,es ESP,GK,29-254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,5f0241b2
Squad Total,,,27.6,34,374,3060,34.0,77,57,134,73,4,6,52,4,70.7,65.8,51.8,117.6,750,1822,1810,2.26,1.68,3.94,2.15,3.82,2.08,1.52,3.60,1.94,3.46,,-9999
Opponent Total,,,26.8,34,374,3060,34.0,34,25,59,32,2,4,46,3,42.7,39.5,31.6,71.1,635,1194,1187,1.00,0.74,1.74,0.94,1.68,1.26,0.93,2.18,1.16,2.09,,-9999
