,Player,Year,Club
0,Brice Samba,2001-2002,Pacy Vallée d'Eure
1,Brice Samba,2002-2006,ALM Évreux
2,Brice Samba,2006-2012,Le Havre AC
3,Brice Samba,2012-2013,Le Havre AC
4,Brice Samba,2013-2017,Olympique de Marseille
5,Brice Samba,2015-2016,AS Nancy-Lorraine
6,Brice Samba,2017-2019,SM Caen
7,Brice Samba,2019-2022,Nottingham Forest
8,Brice Samba,2022-,RC Lens
9,Brice Samba,2013,France -19 ans
10,Brice Samba,2023-,France
11,Kevin Danso,2013-2014,Milton Keynes Dons
12,Kevin Danso,2013-2017,FC Augsbourg
13,Kevin Danso,2017-2021,FC Augsbourg
14,Kevin Danso,2019-2020,Southampton FC
15,Kevin Danso,2020-2021,Fortuna Düsseldorf
16,Kevin Danso,2021-,RC Lens
17,Kevin Danso,2013,Autriche -15 ans
18,Kevin Danso,2013,Autriche -16 ans
19,Kevin Danso,2015,Autriche -17 ans
20,Kevin Danso,2015-2016,Autriche -18 ans
21,Kevin Danso,2016,Autriche -19 ans
22,Kevin Danso,2018-2020,Autriche espoirs
23,Kevin Danso,2017-,Autriche
24,Seko Fofana,2004-2010,Paris FC
25,Seko Fofana,2010-2013,FC Lorient
26,Seko Fofana,2013-2014,Manchester City
27,Seko Fofana,2014-2016,Manchester City
28,Seko Fofana,2014-2015,Fulham FC
29,Seko Fofana,2015-2016,SC Bastia
30,Seko Fofana,2016-2020,Udinese Calcio
31,Seko Fofana,2020-,RC Lens
32,Seko Fofana,2010-2011,France -16 ans
33,Seko Fofana,2011-2012,France -17 ans
34,Seko Fofana,2012-2013,France -18 ans
35,Seko Fofana,2013,France -19 ans
36,Seko Fofana,2017-,Côte d'Ivoire
37,Florian Sotoca,1996-2009,
38,Florian Sotoca,2012-2013,
39,Florian Sotoca,2013-2014,FC Martigues
40,Florian Sotoca,2014-2015,AS Béziers
41,Florian Sotoca,2015-2016,Montpellier HSC
42,Florian Sotoca,2016-2019,Grenoble Foot 38
43,Florian Sotoca,2019-,RC Lens
44,Florian Sotoca,2013,
45,Salis Abdul Samed,2019-2022,Clermont Foot
46,Salis Abdul Samed,2022-,RC Lens
47,Salis Abdul Samed,2022-,Ghana
48,Facundo Medina,2016-2017,River Plate
49,Facundo Medina,2017-2018,CA Talleres
50,Facundo Medina,2018-2020,CA Talleres
51,Facundo Medina,2020-,RC Lens
52,Facundo Medina,2018-2019,Argentine -20 ans
53,Facundo Medina,2020-2021,Argentine -23 ans
54,Facundo Medina,2021-,Argentine olympique
55,Facundo Medina,2020-,Argentine
56,Jonathan Gradit,2012-2013,Aviron bayonnais
57,Jonathan Gradit,2013-2018,Tours FC
58,Jonathan Gradit,2018-2019,SM Caen
59,Jonathan Gradit,2019-,RC Lens
60,Przemys?aw Frankowski,2012-2014,Lechia Gdańsk
61,Przemys?aw Frankowski,2014-2019,Jagiellonia Białystok
62,Przemys?aw Frankowski,2019-2021,Chicago Fire
63,Przemys?aw Frankowski,2021-,RC Lens
64,Przemys?aw Frankowski,2011,
65,Przemys?aw Frankowski,2013,
66,Przemys?aw Frankowski,2013-2014,
67,Przemys?aw Frankowski,2014-2015,
68,Przemys?aw Frankowski,2015-2018,Pologne espoirs
69,Przemys?aw Frankowski,2018-,Pologne
70,Loïs Openda,2011-2013,RFC Liège
71,Loïs Openda,2013-2015,Standard de Liège
72,Loïs Openda,2015-2018,Club Bruges KV
73,Loïs Openda,2018-2022,Club Bruges KV
74,Loïs Openda,2020-2022,Vitesse Arnhem
75,Loïs Openda,2022-,RC Lens
76,Loïs Openda,2015,Belgique -15 ans
77,Loïs Openda,2015,Belgique -16 ans
78,Loïs Openda,2016-2017,Belgique -17 ans
79,Loïs Openda,2017,Belgique -18 ans
80,Loïs Openda,2018-2019,Belgique -19 ans
81,Loïs Openda,2019-,Belgique espoirs
82,Loïs Openda,2022-,Belgique
83,Deiver Machado,2012-2013,Atlético Nacional
84,Deiver Machado,2013-2014,Alianza Petrolera
85,Deiver Machado,2014-2017,Millonarios FC
86,Deiver Machado,2017-2020,KAA La Gantoise
87,Deiver Machado,2017-2019,Atlético Nacional
88,Deiver Machado,2020-2021,Toulouse FC
89,Deiver Machado,2021-,RC Lens
90,Deiver Machado,2016,Colombie olympique
91,Deiver Machado,2018-,Colombie
92,Massadio Haïdara,2006-2008,AC Boulogne-Billancourt
93,Massadio Haïdara,2008-2010,AS Nancy-Lorraine
94,Massadio Haïdara,2010-2013,AS Nancy-Lorraine
95,Massadio Haïdara,2013-2018,Newcastle United
96,Massadio Haïdara,2018-,RC Lens
97,Massadio Haïdara,2011,France -19 ans
98,Massadio Haïdara,2011-2012,France -20 ans
99,Massadio Haïdara,2012,France espoirs
100,Massadio Haïdara,2019-,Mali
101,David Pereira da Costa,2013-2020,RC Lens
102,David Pereira da Costa,2020-,RC Lens
103,David Pereira da Costa,2019,Portugal -18 ans
104,David Pereira da Costa,2020,Portugal -19 ans
105,David Pereira da Costa,2022-,Portugal espoirs
106,Adrien Thomasson,2012-2015,Évian Thonon Gaillard
107,Adrien Thomasson,2013-2014,Vannes OC
108,Adrien Thomasson,2015-2018,FC Nantes
109,Adrien Thomasson,2018-2023,RC Strasbourg
110,Adrien Thomasson,2023-,RC Lens
111,Angelo Fulgini,2005-2007,SC Douai
112,Angelo Fulgini,2007-2014,Valenciennes FC
113,Angelo Fulgini,2015-2017,Valenciennes FC
114,Angelo Fulgini,2017-2022,Angers SCO
115,Angelo Fulgini,2022-2023,FSV Mayence
116,Angelo Fulgini,2023,RC Lens
117,Angelo Fulgini,2023-,RC Lens
118,Angelo Fulgini,2012-2013,France -17 ans
119,Angelo Fulgini,2013-2014,France -18 ans
120,Angelo Fulgini,2014-2015,France -19 ans
121,Angelo Fulgini,2015-2016,France -20 ans
122,Angelo Fulgini,2017-2018,France espoirs
123,Jean Onana,2019-2020,Leixões SC
124,Jean Onana,2020-2021,LOSC Lille
125,Jean Onana,2020-2021,RE Mouscron
126,Jean Onana,2021-2022,Girondins de Bordeaux
127,Jean Onana,2022-,RC Lens
128,Jean Onana,2020-,Cameroun
129,Wesley Saïd,2006-2013,Stade rennais FC
130,Wesley Saïd,2013-2017,Stade rennais FC
131,Wesley Saïd,2014-2015,Stade lavallois
132,Wesley Saïd,2015-2016,Dijon FCO
133,Wesley Saïd,2017-2019,Dijon FCO
134,Wesley Saïd,2019-2021,Toulouse FC
135,Wesley Saïd,2021-,RC Lens
136,Wesley Saïd,2011,France -16 ans
137,Wesley Saïd,2011-2012,France -17 ans
138,Wesley Saïd,2012-2013,France -18 ans
139,Wesley Saïd,2013,France -19 ans
140,Wesley Saïd,2014-2015,France -20 ans
141,Wesley Saïd,2016,France espoirs
142,Jimmy Cabot,2005-2009,
143,Jimmy Cabot,2009-2013,ES Troyes AC
144,Jimmy Cabot,2013-2016,ES Troyes AC
145,Jimmy Cabot,2016-2020,FC Lorient
146,Jimmy Cabot,2020-2022,Angers SCO
147,Jimmy Cabot,2022-,RC Lens
148,Alexis Claude-Maurice,2014-2017,FC Lorient
149,Alexis Claude-Maurice,2017-2019,FC Lorient
150,Alexis Claude-Maurice,2019-,OGC Nice
151,Alexis Claude-Maurice,2022- 2023,RC Lens
152,Alexis Claude-Maurice,2015-2016,France - 18 ans
153,Alexis Claude-Maurice,2016-2017,France - 19 ans
154,Alexis Claude-Maurice,2017,France - 20 ans
155,Alexis Claude-Maurice,2021,France espoirs
156,?ukasz Por?ba,2018-2022,Zagłębie Lubin
157,?ukasz Por?ba,2022-,RC Lens
158,?ukasz Por?ba,2018,Pologne -19 ans
159,?ukasz Por?ba,2019,Pologne -20 ans
160,?ukasz Por?ba,2021-,Pologne espoirs
161,Julien Le Cardinal,2014-2015,EA Guingamp
162,Julien Le Cardinal,2015-2019,Stade briochin
163,Julien Le Cardinal,2019-2022,SC Bastia
164,Julien Le Cardinal,2022,Paris FC
165,Julien Le Cardinal,2022-,RC Lens
166,Rémy Labeau Lascary,2018-2023,RC Lens
167,Rémy Labeau Lascary,2023-,RC Lens
168,Rémy Labeau Lascary,2023-,Stade lavallois
169,Ismaëlben Boura,2011-2014,JA Isle
170,Ismaëlben Boura,2014-2020,RC Lens
171,Ismaëlben Boura,2020-2023,RC Lens
172,Ismaëlben Boura,2021-2022,Le Havre AC
173,Ismaëlben Boura,2023-,ESTAC Troyes
174,Adam Buksa,2013,Wisla Cracovie
175,Adam Buksa,2013-2014,Novare Calcio
176,Adam Buksa,2014-2016,Lechia Gdańsk
177,Adam Buksa,2016-2018,Zagłębie Lubin
178,Adam Buksa,2018,Pogoń Szczecin
179,Adam Buksa,2018-2020,Pogoń Szczecin
180,Adam Buksa,2020-2022,New England Revolution
181,Adam Buksa,2022-,RC Lens
182,Adam Buksa,2013,Pologne -17 ans
183,Adam Buksa,2013-2014,
184,Adam Buksa,2014-2015,
185,Adam Buksa,2016-2019,Pologne espoirs
186,Adam Buksa,2021-,Pologne
187,Ignatius Ganago,2017-2020,OGC Nice
188,Ignatius Ganago,2020-2022,RC Lens
189,Ignatius Ganago,2022-,FC Nantes
190,Ignatius Ganago,2019-,Cameroun
191,Patrick Berg,2014-2021,FK Bodø/Glimt
192,Patrick Berg,2021-2022,RC Lens
193,Patrick Berg,2022-,FK Bodø/Glimt
194,Patrick Berg,2013-2014,Norvège -16 ans
195,Patrick Berg,2014,Norvège -17 ans
196,Patrick Berg,2014-2015,Norvège -18 ans
197,Patrick Berg,2015-2016,Norvège -19 ans
198,Patrick Berg,2021-,Norvège
199,Gaël Kakuta,1998-1999,
200,Gaël Kakuta,1999-2007,RC Lens
201,Gaël Kakuta,2007-2009,Chelsea FC
202,Gaël Kakuta,2009-2015,Chelsea FC
203,Gaël Kakuta,2011,Fulham FC
204,Gaël Kakuta,2011,Bolton Wanderers
205,Gaël Kakuta,2012,Dijon FCO
206,Gaël Kakuta,2012-2014,Vitesse Arnhem
207,Gaël Kakuta,2014,Lazio Rome
208,Gaël Kakuta,2014-2015,Rayo Vallecano
209,Gaël Kakuta,2015-2016,Séville FC
210,Gaël Kakuta,2016-2018,Hebei China Fortune
211,Gaël Kakuta,2017,Deportivo La Corogne
212,Gaël Kakuta,2017-2018,Amiens SC
213,Gaël Kakuta,2018-2019,Rayo Vallecano
214,Gaël Kakuta,2019-2020,Amiens SC
215,Gaël Kakuta,2020-2022,RC Lens
216,Gaël Kakuta,2022-,Amiens SC
217,Steven Fortes,2012-2013,AC Arles-Avignon
218,Steven Fortes,2013-2014,AC Arles-Avignon
219,Steven Fortes,2014-2017,Le Havre AC
220,Steven Fortes,2017-2019,Toulouse FC
221,Steven Fortes,2019-2023,RC Lens
222,Steven Fortes,2021-2022,KV Ostende
223,Steven Fortes,2015-,Cap-Vert
224,Christopher Wooh,2010-2016,US Chantilly
225,Christopher Wooh,2016-2021,AS Nancy-Lorraine
226,Christopher Wooh,2021,AS Nancy-Lorraine
227,Christopher Wooh,2021-2022,RC Lens
228,Christopher Wooh,2022-,Stade rennais FC
229,Christopher Wooh,2022-,Cameroun
230,Ibrahima Baldé,2007-2009,Vélez Sársfield
231,Ibrahima Baldé,2008-2009,Atlético de Madrid
232,Ibrahima Baldé,2009-2010,Atlético de Madrid B
233,Ibrahima Baldé,2010-2011,Atlético de Madrid
234,Ibrahima Baldé,2010-2011,CD Numancia
235,Ibrahima Baldé,2011-2012,Osasuna Pampelune
236,Ibrahima Baldé,2012-2016,Kouban Krasnodar
237,Ibrahima Baldé,2016-2017,Stade de Reims
238,Ibrahima Baldé,2017-2018,CFR Cluj
239,Ibrahima Baldé,2018-2020,Real Oviedo
240,Ibrahima Baldé,2020-2022,Giresunspor
241,Ibrahima Baldé,2022-,Boluspor
242,Ibrahima Baldé,2012,Sénégal olympique
243,Ibrahima Baldé,2012-,Sénégal
244,Yacouba Barry,2017-,Santoba FC
245,Yacouba Barry,2020-,Horoya AC
246,Yacouba Barry,2020-,Guinée
247,Yaya Kader Fofana,2013-2015,Red Star FC
248,Yaya Kader Fofana,2015-2018,Le Havre AC
249,Yaya Kader Fofana,2018-2022,Le Havre AC
250,Yaya Kader Fofana,2022-,Angers SCO
251,Yaya Kader Fofana,2016,France -16 ans
252,Yaya Kader Fofana,2017,France -17 ans
253,Yaya Kader Fofana,2017-2018,France -18 ans
254,Yaya Kader Fofana,2018,France -19 ans
255,Yaya Kader Fofana,2022,France espoirs
256,Jean-Louis Leca,2004-2008,SC Bastia
257,Jean-Louis Leca,2008-2013,Valenciennes FC
258,Jean-Louis Leca,2013-2017,SC Bastia
259,Jean-Louis Leca,2017-2018,AC Ajaccio
260,Jean-Louis Leca,2018-,RC Lens
261,Jean-Louis Leca,2009-,Corse
262,Yannick Pandor,2017-2018,SC Bel Air
263,Yannick Pandor,2018-,RC Lens
264,Yannick Pandor,2018-2022,RC Lens B
265,Yannick Pandor,2022-,RC Lens
266,Yannick Pandor,2022-,Comores
267,Valentin Rongier,2001-2014,FC Nantes
268,Valentin Rongier,2014-2019,FC Nantes
269,Valentin Rongier,2019-,Olympique de Marseille
270,Pau López,2002-2007,Girona FC
271,Pau López,2007-2013,RCD Espanyol
272,Pau López,2013-2014,RCD Espanyol B
273,Pau López,2014-2018,RCD Espanyol
274,Pau López,2016-2017,Tottenham Hotspur
275,Pau López,2018-2019,Real Betis
276,Pau López,2019-2021,AS Rome
277,Pau López,2021-,Olympique de Marseille
278,Pau López,2016-2017,Espagne espoirs
279,Pau López,2015,Catalogne
280,Pau López,2018-,Espagne
281,Chancel Mbemba,2006-2007,
282,Chancel Mbemba,2007-2008,
283,Chancel Mbemba,2008-2011,MK Étanchéité
284,Chancel Mbemba,2011-2013,RSC Anderlecht
285,Chancel Mbemba,2013-2015,RSC Anderlecht
286,Chancel Mbemba,2015-2018,Newcastle United
287,Chancel Mbemba,2018-2022,FC Porto
288,Chancel Mbemba,2022-,Olympique de Marseille
289,Chancel Mbemba,2012-,RD Congo
290,Alexis Sánchez,2005-2006,CD Cobreloa
291,Alexis Sánchez,2006-2011,Udinese Calcio
292,Alexis Sánchez,2006-2007,Colo-Colo
293,Alexis Sánchez,2007-2008,River Plate
294,Alexis Sánchez,2011-2014,FC Barcelone
295,Alexis Sánchez,2014-2018,Arsenal FC
296,Alexis Sánchez,2018-2020,Manchester United
297,Alexis Sánchez,2019-2020,Inter Milan
298,Alexis Sánchez,2020-2022,Inter Milan
299,Alexis Sánchez,2022-2023,Olympique de Marseille
300,Alexis Sánchez,2007,Chili -20 ans
301,Alexis Sánchez,2006-,Chili
302,Jonathan Clauss,2000-2010,RC Strasbourg
303,Jonathan Clauss,2010-2013,ASPV Strasbourg
304,Jonathan Clauss,2013-2015,
305,Jonathan Clauss,2015-2016,US Raon-l'Étape
306,Jonathan Clauss,2016-2017,US Avranches
307,Jonathan Clauss,2017-2018,US Quevilly-Rouen
308,Jonathan Clauss,2018-2020,Arminia Bielefeld
309,Jonathan Clauss,2020-2022,RC Lens
310,Jonathan Clauss,2022-,Olympique de Marseille
311,Jonathan Clauss,2022-,France
312,Jordan Veretout,2003-2011,FC Nantes
313,Jordan Veretout,2011-2015,FC Nantes
314,Jordan Veretout,2015-2017,Aston Villa
315,Jordan Veretout,2016-2017,AS Saint-Étienne
316,Jordan Veretout,2017-2019,ACF Fiorentina
317,Jordan Veretout,2019-2022,AS Rome
318,Jordan Veretout,2022-,Olympique de Marseille
319,Jordan Veretout,2010-2011,France -18 ans
320,Jordan Veretout,2011-2012,France -19 ans
321,Jordan Veretout,2012-2013,France -20 ans
322,Jordan Veretout,2013-2014,France espoirs
323,Jordan Veretout,2021-,France
324,Leonardo Balerdi,-2012,
325,Leonardo Balerdi,2013-2018,Boca Juniors
326,Leonardo Balerdi,2018-2019,Boca Juniors
327,Leonardo Balerdi,2019-2020,Borussia Dortmund
328,Leonardo Balerdi,2020-,Olympique de Marseille
329,Leonardo Balerdi,2018-2019,Argentine -20 ans
330,Leonardo Balerdi,2019,Argentine olympique
331,Leonardo Balerdi,2019-,Argentine
332,Cengiz Ünder,2013-2014,Altınordu FK
333,Cengiz Ünder,2014-2016,Altınordu FK
334,Cengiz Ünder,2016-2017,Istanbul Başakşehir
335,Cengiz Ünder,2017-2021,AS Rome
336,Cengiz Ünder,2020-2021,Leicester City
337,Cengiz Ünder,2021-,Olympique de Marseille
338,Cengiz Ünder,2014-2015,Turquie -18 ans
339,Cengiz Ünder,2015-2016,Turquie -19 ans
340,Cengiz Ünder,2016,Turquie espoirs
341,Cengiz Ünder,2016-,Turquie
342,Nuno Tavares,2010-2013,Sporting Portugal
343,Nuno Tavares,2013-2015,Casa Pia AC
344,Nuno Tavares,2015-2019,Benfica Lisbonne
345,Nuno Tavares,2019-2021,Benfica Lisbonne
346,Nuno Tavares,2021-,Arsenal FC
347,Nuno Tavares,2022-2023,Olympique de Marseille
348,Nuno Tavares,2018,Portugal -18 ans
349,Nuno Tavares,2018-2019,Portugal -19 ans
350,Nuno Tavares,2019-,Portugal espoirs
351,Sead Kolainac,2001-2009,Karlsruher SC
352,Sead Kolainac,2009-2010,1899 Hoffenheim
353,Sead Kolainac,2010,VfB Stuttgart
354,Sead Kolainac,2011-2012,Schalke 04
355,Sead Kolainac,2012-2017,Schalke 04
356,Sead Kolainac,2017-2022,Arsenal FC
357,Sead Kolainac,2021,Schalke 04
358,Sead Kolainac,2022-2023,Olympique de Marseille
359,Sead Kolainac,2023-,Atalanta Bergame
360,Sead Kolainac,2011,Allemagne -18 ans
361,Sead Kolainac,2011-2012,Allemagne -19 ans
362,Sead Kolainac,2012,Allemagne -20 ans
363,Sead Kolainac,2013-,Bosnie-Herzégovine
364,Samuel Gigot,1998-2003,
365,Samuel Gigot,2003-2010,Avignon Football 84
366,Samuel Gigot,2010-2011,US Le Pontet
367,Samuel Gigot,2011-2012,AC Arles-Avignon
368,Samuel Gigot,2012-2015,AC Arles-Avignon
369,Samuel Gigot,2015-2017,KV Courtrai
370,Samuel Gigot,2017-2018,KAA La Gantoise
371,Samuel Gigot,2018-2022,Spartak Moscou
372,Samuel Gigot,2022-,Olympique de Marseille
373,Mattéo Guendouzi,2005-2014,Paris Saint-Germain
374,Mattéo Guendouzi,2014-2016,FC Lorient
375,Mattéo Guendouzi,2016-2018,FC Lorient
376,Mattéo Guendouzi,2018-2021,Arsenal FC
377,Mattéo Guendouzi,2020-2021,Hertha Berlin
378,Mattéo Guendouzi,2021-,Olympique de Marseille
379,Mattéo Guendouzi,2016-2017,France -18 ans
380,Mattéo Guendouzi,2017,France -19 ans
381,Mattéo Guendouzi,2017-2018,France -20 ans
382,Mattéo Guendouzi,2018-2021,France espoirs
383,Mattéo Guendouzi,2021-,France
384,Ruslan Malinovskyi,2006-2010,Chakhtar Donetsk
385,Ruslan Malinovskyi,2010-2012,Chakhtar Donetsk-3
386,Ruslan Malinovskyi,2012-2017,Chakhtar Donetsk
387,Ruslan Malinovskyi,2012-2013,PFC Sébastopol
388,Ruslan Malinovskyi,2013,PFC Sébastopol-2
389,Ruslan Malinovskyi,2014-2016,Zorya Louhansk
390,Ruslan Malinovskyi,2016-2017,KRC Genk
391,Ruslan Malinovskyi,2017-2019,KRC Genk
392,Ruslan Malinovskyi,2019-2023,Atalanta Bergame
393,Ruslan Malinovskyi,2023-,Olympique de Marseille
394,Ruslan Malinovskyi,2011-2012,Ukraine -19 ans
395,Ruslan Malinovskyi,2013-2014,Ukraine espoirs
396,Ruslan Malinovskyi,2015-,Ukraine
397,Issa Kaboré,2019-2020,KV Malines
398,Issa Kaboré,2020-,Manchester City
399,Issa Kaboré,2020-2021,KV Malines
400,Issa Kaboré,2021-2022,ES Troyes AC
401,Issa Kaboré,2022-,Olympique de Marseille
402,Issa Kaboré,2019,Burkina Faso -20 ans
403,Issa Kaboré,2019-,Burkina Faso
404,Dimitri Payet,1999-2003,Le Havre AC
405,Dimitri Payet,2003-2004,AS Excelsior
406,Dimitri Payet,2004-2007,FC Nantes
407,Dimitri Payet,2007-2011,AS Saint-Étienne
408,Dimitri Payet,2011-2013,LOSC Lille
409,Dimitri Payet,2013-2015,Olympique de Marseille
410,Dimitri Payet,2015-2017,West Ham United
411,Dimitri Payet,2017-,Olympique de Marseille
412,Dimitri Payet,2007-2008,France espoirs
413,Dimitri Payet,2010-2018,France
414,Amine Harit,2007-2008,Paris Saint-Germain
415,Amine Harit,2011-2012,Red Star FC
416,Amine Harit,2012-2015,FC Nantes
417,Amine Harit,2015-2016,FC Nantes
418,Amine Harit,2016-2017,FC Nantes
419,Amine Harit,2017-2021,FC Schalke 04
420,Amine Harit,2021-2023,Olympique de Marseille
421,Amine Harit,2023-,Olympique de Marseille
422,Amine Harit,2015,France -18 ans
423,Amine Harit,2015,France -19 ans
424,Amine Harit,2017,France -20 ans
425,Amine Harit,2017,France espoirs
426,Gerson,2005-2014,Fluminense FC
427,Gerson,2014-2016,Fluminense FC
428,Gerson,2016-2019,AS Rome
429,Gerson,2018-2019,ACF Fiorentina
430,Gerson,2019-2021,CR Flamengo
431,Gerson,2021-2023,Olympique de Marseille
432,Gerson,2023-,CR Flamengo
433,Gerson,2014-2016,Brésil -20 ans
434,Gerson,2021,Brésil -23 ans
435,Gerson,2021-,Brésil
436,Rubén Blanco,,Celta de Vigo
437,Rubén Blanco,2011-2014,Celta de Vigo B
438,Rubén Blanco,2013-,Celta de Vigo
439,Rubén Blanco,2022-2023,Olympique de Marseille
440,Rubén Blanco,2011-2012,Espagne -17 ans
441,Rubén Blanco,2013-2014,Espagne -19 ans
442,Rubén Blanco,2012,Espagne -20 ans
443,Rubén Blanco,2015,Espagne espoirs
444,Pape Gueye,2005-2012,
445,Pape Gueye,2012-2017,Le Havre AC
446,Pape Gueye,2017-2020,Le Havre AC
447,Pape Gueye,2020-,Olympique de Marseille
448,Pape Gueye,2023,Séville FC
449,Pape Gueye,2017,France -18 ans
450,Pape Gueye,2017,France -19 ans
451,Pape Gueye,2021-,Sénégal
452,Eric Bailly,2011-2013,RCD Espanyol
453,Eric Bailly,2013-2014,RCD Espanyol B
454,Eric Bailly,2014-2015,RCD Espanyol
455,Eric Bailly,2015-2016,Villarreal CF
456,Eric Bailly,2016-,Manchester United
457,Eric Bailly,2022-2023,Olympique de Marseille
458,Eric Bailly,2015-,Côte d’Ivoire
459,Eric Bailly,2021,Côte d'Ivoire olympique
460,Vitinha,2012-2017,
461,Vitinha,2017-2020,SC Braga
462,Vitinha,2020-2023,SC Braga
463,Vitinha,2023-,Olympique de Marseille
464,Vitinha,2018,Portugal -18 ans
465,Vitinha,2021-,Portugal espoirs
466,Luis Javier Suárez,,Leones FC
467,Luis Javier Suárez,2015-2017,Leones FC
468,Luis Javier Suárez,2016-2017,Grenade CF B
469,Luis Javier Suárez,2017-2020,Watford FC
470,Luis Javier Suárez,2017-2018,Real Valladolid B
471,Luis Javier Suárez,2018-2019,Gimnàstic de Tarragone
472,Luis Javier Suárez,2019-2020,Real Saragosse
473,Luis Javier Suárez,2020-2022,Grenade CF
474,Luis Javier Suárez,2022-2023,Olympique de Marseille
475,Luis Javier Suárez,2023,UD Almería
476,Luis Javier Suárez,2023-,UD Almería
477,Luis Javier Suárez,2020-,Colombie
478,Arkadiusz Milik,2000-2010,Rozwój Katowice
479,Arkadiusz Milik,2010-2011,Rozwój Katowice
480,Arkadiusz Milik,2011-2012,Górnik Zabrze
481,Arkadiusz Milik,2012-2015,Bayer Leverkusen
482,Arkadiusz Milik,2013-2014,FC Augsbourg
483,Arkadiusz Milik,2014-2015,Ajax Amsterdam
484,Arkadiusz Milik,2015-2016,Ajax Amsterdam
485,Arkadiusz Milik,2016-2022,SSC Naples
486,Arkadiusz Milik,2021-2022,Olympique de Marseille
487,Arkadiusz Milik,2022-2023,Olympique de Marseille
488,Arkadiusz Milik,2022-2023,Juventus FC
489,Arkadiusz Milik,2023-,Juventus FC
490,Arkadiusz Milik,2011,Pologne -17 ans
491,Arkadiusz Milik,2012,Pologne -18 ans
492,Arkadiusz Milik,2011-2012,Pologne -19 ans
493,Arkadiusz Milik,2012-2013,Pologne espoirs
494,Arkadiusz Milik,2012-,Pologne
495,Bamba Dieng,2010-2014,ASC Sonacos
496,Bamba Dieng,2014-2019,Diambars FC
497,Bamba Dieng,2019-2020,Diambars FC
498,Bamba Dieng,2020-2021,Olympique de Marseille
499,Bamba Dieng,2021-2023,Olympique de Marseille
500,Bamba Dieng,2023-,FC Lorient
501,Bamba Dieng,2016,Sénégal -17 ans
502,Bamba Dieng,2021-,Sénégal
503,Azzedine Ounahi,2015-2018,Académie MVI
504,Azzedine Ounahi,2018-2020,RC Strasbourg
505,Azzedine Ounahi,2020-2021,US Avranches
506,Azzedine Ounahi,2021-2023,Angers SCO
507,Azzedine Ounahi,2023-,Olympique de Marseille
508,Azzedine Ounahi,2018,Maroc -20 ans
509,Azzedine Ounahi,2022-,Maroc
510,Souleymane Touré,2010-2013,
511,Souleymane Touré,2013-2014,
512,Souleymane Touré,2014-2020,Le Havre AC
513,Souleymane Touré,2020-2022,Le Havre AC
514,Souleymane Touré,2022-,Olympique de Marseille
515,Souleymane Touré,2023,AJ Auxerre
516,Souleymane Touré,2019-2020,France -17 ans
517,Souleymane Touré,2021-,France -19 ans
518,Souleymane Touré,2023-,France -20 ans
519,Cédric Bakambu,2000-2006,US Ivry
520,Cédric Bakambu,2006-2010,FC Sochaux-Montbéliard
521,Cédric Bakambu,2010-2014,FC Sochaux-Montbéliard
522,Cédric Bakambu,2014-2015,Bursaspor
523,Cédric Bakambu,2015-2018,Villarreal CF
524,Cédric Bakambu,2018-2021,Beijing Guoan
525,Cédric Bakambu,2022,Olympique de Marseille
526,Cédric Bakambu,2022-2023,Olympiakos
527,Cédric Bakambu,2023-,Al Nasr SC
528,Cédric Bakambu,2008-2009,France - 18 ans
529,Cédric Bakambu,2009-2010,France - 19 ans
530,Cédric Bakambu,2010-2011,France - 20 ans
531,Cédric Bakambu,2015-,RD Congo
532,Duje ?aleta-Car,2012-2013,HNK Šibenik
533,Duje ?aleta-Car,2013-2014,FC Pasching
534,Duje ?aleta-Car,2014,FC Liefering
535,Duje ?aleta-Car,2014-2018,Red Bull Salzbourg
536,Duje ?aleta-Car,2018-2022,Olympique de Marseille
537,Duje ?aleta-Car,2022-,Southampton FC
538,Duje ?aleta-Car,2012-2013,Croatie -17 ans
539,Duje ?aleta-Car,2013-2014,
540,Duje ?aleta-Car,2014-2015,
541,Duje ?aleta-Car,2014-2018,Croatie espoirs
542,Duje ?aleta-Car,2018-,Croatie
543,Pol Lirola,2013-2015,Espanyol de Barcelone
544,Pol Lirola,2015-2016,Juventus FC
545,Pol Lirola,2016-2018,Juventus FC
546,Pol Lirola,2016-2018,US Sassuolo
547,Pol Lirola,2018-2020,US Sassuolo
548,Pol Lirola,2019-2020,ACF Fiorentina
549,Pol Lirola,2020-2021,ACF Fiorentina
550,Pol Lirola,2021-,Olympique de Marseille
551,Pol Lirola,2022-2023,Elche CF
552,Pol Lirola,2013,Espagne -17 ans
553,Pol Lirola,2016,Catalogne
554,Pol Lirola,2017-2019,Espagne espoirs
555,Yakine Said Mmadi,2021-,Olympique de Marseille
556,Yakine Said Mmadi,2022-,Comores
557,Alexander Nübel,2005-2014,SC Paderborn
558,Alexander Nübel,2014-2015,SC Paderborn II
559,Alexander Nübel,2015-2018,Schalke 04 II
560,Alexander Nübel,2016-2020,Schalke 04
561,Alexander Nübel,2020-,Bayern Munich
562,Alexander Nübel,2021-2023,AS Monaco
563,Alexander Nübel,2017-2019,Allemagne espoirs
564,Axel Disasi,2013-2014,USM Senlis
565,Axel Disasi,2014-2016,Paris FC
566,Axel Disasi,2015-2016,Paris FC
567,Axel Disasi,2016-2020,Stade de Reims
568,Axel Disasi,2020-,AS Monaco
569,Axel Disasi,2017-2018,France -20 ans
