 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Martin Adeline,fr FRA,MFFW,19-162,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,7587446d
Nathanael Mbuku,fr FRA,FWMF,21-058,6,0,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,3,6,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,46750e9c
Mohamed Toure,au AUS,FWDF,19-048,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37,Matches,8ac64b4e
Rafik Guitane,fr FRA,FW,23-352,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7091324a
Fallou Fall,sn SEN,DF,19-028,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2c8a91b9
Samuel Koeberlé,fr FRA,MF,18-168,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,6751b938
Therence Koudou,fr FRA,MF,18-151,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,059a83b8
Moustapha Mbow,sn SEN,DF,23-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,3f3a2cba
Alexandre Olliero,fr FRA,GK,27-087,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,c977ef13
Nicolas Penneteau,fr FRA,GK,42-074,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,3870f7c3
Soumalia Sylla,fr FRA,GK,19-059,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,4ea5988a
Mory Diaw,sn SEN,GK,29-325,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f41a69e6
Mateusz Wieteska,pl POL,DF,26-091,32,32,2847,31.6,0,1,1,0,0,0,5,1,2.0,2.0,0.3,2.3,15,88,7,0.00,0.03,0.03,0.00,0.03,0.06,0.01,0.07,0.06,0.07,Matches,3ecc8c5f
Neto Borges,br BRA,DF,26-242,29,29,2475,27.5,2,1,3,2,0,0,4,2,2.9,2.9,2.6,5.5,54,83,159,0.07,0.04,0.11,0.07,0.11,0.11,0.09,0.20,0.11,0.20,Matches,9f936061
Johan Gastien,fr FRA,MF,35-108,27,25,2243,24.9,3,3,6,3,0,0,6,0,0.8,0.8,1.9,2.7,10,193,22,0.12,0.12,0.24,0.12,0.24,0.03,0.08,0.11,0.03,0.11,Matches,868eaba0
Jim Allevinah,ga GAB,DFFW,28-075,32,24,2103,23.4,1,1,2,1,0,0,2,0,2.5,2.5,2.0,4.5,78,56,132,0.04,0.04,0.09,0.04,0.09,0.11,0.09,0.19,0.11,0.19,Matches,1956b948
